Player,Span,Start_ Year,End_Year,Career_Length,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Wickets_Per_Match,Economy_Score,Bowling_Impact_Score,Five_Wicket_Rate
RJ Trott (BMUDA),2008-2019,2008,2019,11,15,13,38.3,0,277,8,Feb-15,34.62,7.19,28.8,0,0,0.53,0.14,0.42,0.000
R van der Merwe (Arg),2019-2019,2019,2019,0,5,5,13,2,62,8,03-Sep,7.75,4.76,9.7,0,0,1.60,0.21,1.18,0.000
JJ van der Wath (SA),2006-2007,2006,2007,1,8,8,31,0,231,8,Feb-31,28.87,7.45,23.2,0,0,1.00,0.13,0.74,0.000
TC Vine (ESP),2019-2019,2019,2019,0,6,6,15,0,105,8,Apr-28,13.12,7,11.2,1,0,1.33,0.14,0.98,0.000
C Waiswa (UGA),2019-2019,2019,2019,0,4,4,14,0,115,8,Apr-38,14.37,8.21,10.5,1,0,2.00,0.12,1.44,0.000
Waqar Khan (Peru),2019-2019,2019,2019,0,4,4,13,0,86,8,Mar-21,10.75,6.61,9.7,0,0,2.00,0.15,1.45,0.000
Abdul-Shakoor Rahimzei (GER),2019-2019,2019,2019,0,7,6,15.3,0,101,7,02-Oct,14.42,6.51,13.2,0,0,1.00,0.15,0.75,0.000
Bashir Shah (DEN),2019-2019,2019,2019,0,4,4,14,0,76,7,Mar-14,10.85,5.42,12,0,0,1.75,0.18,1.28,0.000
JP Behrendorff (AUS),2017-2019,2017,2019,2,7,6,16,0,117,7,Apr-21,16.71,7.31,13.7,1,0,1.00,0.14,0.74,0.000
D Bishoo (WI),2011-2019,2011,2019,8,7,7,20.1,1,137,7,Apr-17,19.57,6.79,17.2,1,0,1.00,0.15,0.74,0.000
M de Lange (SA),2012-2015,2012,2015,3,6,6,23.2,0,228,7,Feb-26,32.57,9.77,20,0,0,1.17,0.10,0.85,0.000
Delawar Khan (DEN),2019-2019,2019,2019,0,9,7,20,1,129,7,Feb-21,18.42,6.45,17.1,0,0,0.78,0.16,0.59,0.000
JL Denly (ENG),2009-2019,2009,2019,10,10,5,11,0,85,7,Apr-19,12.14,7.72,9.4,1,0,0.70,0.13,0.53,0.000
G Goudie (SCOT),2010-2013,2010,2013,3,9,9,24.5,0,224,7,Mar-22,32,9.02,21.2,0,0,0.78,0.11,0.58,0.000
Habib Ahmadzai (Aut),2019-2019,2019,2019,0,5,5,14,1,96,7,04-Dec,13.71,6.85,12,1,0,1.40,0.15,1.02,0.000
AS Hansra (CAN),2012-2013,2012,2013,1,8,6,15,0,94,7,Feb-13,13.42,6.26,12.8,0,0,0.88,0.16,0.66,0.000
JW Hastings (AUS),2010-2016,2010,2016,6,9,9,31,0,247,7,Mar-14,35.28,7.96,26.5,0,0,0.78,0.13,0.58,0.000
MJ Henry (NZ),2014-2017,2014,2017,3,6,6,22,1,191,7,Mar-44,27.28,8.68,18.8,0,0,1.17,0.12,0.85,0.000
Hirenkumar Patel (Chile),2019-2019,2019,2019,0,4,4,15,0,82,7,Apr-21,11.71,5.46,12.8,1,0,1.75,0.18,1.28,0.000
GB Hogg (AUS),2006-2014,2006,2014,8,15,15,49,1,373,7,Feb-31,53.28,7.61,42,0,0,0.47,0.13,0.37,0.000
Ibrarul Haq (Saudi),2019-2019,2019,2019,0,5,5,17,0,116,7,Mar-28,16.57,6.82,14.5,0,0,1.40,0.15,1.02,0.000
Imran Ali (KUW),2019-2019,2019,2019,0,4,4,15,0,136,7,Mar-16,19.42,9.06,12.8,0,0,1.75,0.11,1.26,0.000
Imran Haider (UAE),2016-2019,2016,2019,3,11,11,31,0,250,7,Jan-16,35.71,8.06,26.5,0,0,0.64,0.12,0.48,0.000
Jasdeep Singh (USA),2019-2019,2019,2019,0,4,4,14,1,140,7,Feb-18,20,10,12,0,0,1.75,0.10,1.26,0.000
LM Jongwe (ZIM),2015-2016,2015,2016,1,8,7,21.2,0,211,7,Feb-24,30.14,9.89,18.2,0,0,0.88,0.10,0.64,0.000
Junaid Siddique (UAE),2019-2019,2019,2019,0,8,8,26.2,1,179,7,Feb-34,25.57,6.79,22.5,0,0,0.88,0.15,0.66,0.000
S Randiv (SL),2010-2011,2010,2011,1,7,7,21,0,139,7,Mar-20,19.85,6.61,18,0,0,1.00,0.15,0.75,0.000
NR Kumar (CAN),2012-2019,2012,2019,7,18,10,26,0,160,7,Feb-18,22.85,6.15,22.2,0,0,0.39,0.16,0.32,0.000
JB Little (IRE),2016-2019,2016,2019,3,11,11,40.4,0,367,7,Feb-20,52.42,9.02,34.8,0,0,0.64,0.11,0.48,0.000
MF Maharoof (SL),2006-2016,2006,2016,10,8,8,27,0,199,7,Feb-18,28.42,7.37,23.1,0,0,0.88,0.14,0.65,0.000
NA Maiolo (ITA),2019-2019,2019,2019,0,8,7,28,0,152,7,02-Aug,21.71,5.42,24,0,0,0.88,0.18,0.67,0.000
CS Martin (NZ),2007-2008,2007,2008,1,6,6,23,1,193,7,Feb-14,27.57,8.39,19.7,0,0,1.17,0.12,0.85,0.000
ZE Matsinhe (Moz),2019-2019,2019,2019,0,7,5,16,0,101,7,Mar-27,14.42,6.31,13.7,0,0,1.00,0.16,0.75,0.000
Muslim Yar (GER),2019-2019,2019,2019,0,7,7,19,1,119,7,Feb-17,17,6.26,16.2,0,0,1.00,0.16,0.75,0.000
CT Mutombodzi (ZIM),2013-2019,2013,2019,6,13,9,26,0,188,7,02-Dec,26.85,7.23,22.2,0,0,0.54,0.14,0.42,0.000
A Nanda (LUX),2019-2019,2019,2019,0,3,3,7.2,0,47,7,05-Jun,6.71,6.4,6.2,0,1,2.33,0.16,1.68,0.333
Nasir Hossain (BDESH),2011-2016,2011,2016,5,31,11,29.5,0,262,7,Feb-26,37.42,8.78,25.5,0,0,0.23,0.11,0.19,0.000
Naveen-ul-Haq (AFG),2019-2019,2019,2019,0,4,4,15,0,102,7,Mar-24,14.57,6.8,12.8,0,0,1.75,0.15,1.27,0.000
R Panchal (ESP),2019-2019,2019,2019,0,9,9,28,1,139,7,Mar-22,19.85,4.96,24,0,0,0.78,0.20,0.60,0.000
SR Patel (ENG),2011-2013,2011,2013,2,18,15,42,0,321,7,02-Jun,45.85,7.64,36,0,0,0.39,0.13,0.31,0.000
A Rangaswamy (Botsw),2019-2019,2019,2019,0,4,4,9.4,1,83,7,Apr-21,11.85,8.58,8.2,1,0,1.75,0.12,1.26,0.000
JB Reva (PNG),2015-2019,2015,2019,4,9,8,21.1,0,148,7,02-Nov,21.14,6.99,18.1,0,0,0.78,0.14,0.59,0.000
MJ Ross (ITA),2019-2019,2019,2019,0,8,7,19,0,120,7,Apr-15,17.14,6.31,16.2,1,0,0.88,0.16,0.66,0.000
Sayed Shirzad (AFG),2015-2019,2015,2019,4,4,4,15,1,116,7,Mar-16,16.57,7.73,12.8,0,0,1.75,0.13,1.26,0.000
B Shikongo (NAM),2019-2019,2019,2019,0,11,10,23,0,131,7,02-Apr,18.71,5.69,19.7,0,0,0.64,0.18,0.50,0.000
DR Smith (WI),2006-2015,2006,2015,9,33,11,23.4,0,212,7,Mar-24,30.28,8.95,20.2,0,0,0.21,0.11,0.18,0.000
M Spry (Peru),2019-2019,2019,2019,0,4,4,10,0,62,7,04-Aug,8.85,6.2,8.5,1,0,1.75,0.16,1.27,0.000
S Sreesanth (INDIA),2006-2008,2006,2008,2,10,9,34,2,288,7,02-Dec,41.14,8.47,29.1,0,0,0.70,0.12,0.53,0.000
JTS Sumerauer (JER),2019-2019,2019,2019,0,8,8,20.1,0,155,7,02-Oct,22.14,7.68,17.2,0,0,0.88,0.13,0.65,0.000
T Thushara (SL),2008-2010,2008,2010,2,6,6,22,0,179,7,Feb-37,25.57,8.13,18.8,0,0,1.17,0.12,0.85,0.000
JC Tredwell (ENG),2012-2014,2012,2014,2,17,15,52.5,0,416,7,Jan-16,59.42,7.87,45.2,0,0,0.41,0.13,0.33,0.000
BM Wheeler (NZ),2017-2018,2017,2018,1,6,6,21.2,0,216,7,Feb-16,30.85,10.12,18.2,0,0,1.17,0.10,0.85,0.000
CR Woakes (ENG),2011-2015,2011,2015,4,8,8,27,0,253,7,Feb-40,36.14,9.37,23.1,0,0,0.88,0.11,0.64,0.000
M Abdulla (MWI),2019-2019,2019,2019,0,5,3,12,0,76,6,Mar-25,12.66,6.33,12,0,0,1.20,0.16,0.89,0.000
Abdullah Akbarjan (Aut),2019-2019,2019,2019,0,5,4,13,0,72,6,Mar-20,12,5.53,13,0,0,1.20,0.18,0.89,0.000
IKO Aboagye (Ghana),2019-2019,2019,2019,0,4,4,14,0,83,6,Mar-26,13.83,5.92,14,0,0,1.50,0.17,1.10,0.000
Abu Hider (BDESH),2016-2018,2016,2018,2,13,12,36,0,330,6,Feb-40,55,9.16,36,0,0,0.46,0.11,0.36,0.000
VD Adewoye (NGA),2019-2019,2019,2019,0,7,7,16.2,1,135,6,Apr-18,22.5,8.26,16.3,1,0,0.86,0.12,0.64,0.000
CM Akachukwu (NGA),2019-2019,2019,2019,0,8,8,18.2,0,151,6,Feb-34,25.16,8.23,18.3,0,0,0.75,0.12,0.56,0.000
Aminul Islam (BDESH),2019-2019,2019,2019,0,4,4,14,0,98,6,Feb-18,16.33,7,14,0,0,1.50,0.14,1.09,0.000
Amir Hayat (UAE),2018-2019,2018,2019,1,4,4,14,0,103,6,Feb-16,17.16,7.35,14,0,0,1.50,0.14,1.09,0.000
WD Balaji Rao (CAN),2008-2008,2008,2008,0,4,4,14,0,107,6,Mar-21,17.83,7.64,14,0,0,1.50,0.13,1.09,0.000
TL Best (WI),2013-2014,2013,2014,1,6,6,20,0,154,6,Mar-18,25.66,7.7,20,0,0,1.00,0.13,0.74,0.000
JAR Blain (SCOT),2007-2008,2007,2008,1,6,5,20,0,108,6,Feb-23,18,5.4,20,0,0,1.00,0.19,0.76,0.000
NM Carter (SCOT),2013-2013,2013,2013,0,7,7,26,1,168,6,Feb-27,28,6.46,26,0,0,0.86,0.15,0.65,0.000
JW Chilia (VAN),2019-2019,2019,2019,0,14,13,47.2,0,315,6,Jan-21,52.5,6.65,47.3,0,0,0.43,0.15,0.35,0.000
MJ Clarke (AUS),2005-2010,2005,2010,5,34,15,26,0,225,6,01-Feb,37.5,8.65,26,0,0,0.18,0.12,0.16,0.000
MNR Cooray (Mald),2019-2019,2019,2019,0,4,4,16,0,99,6,Mar-26,16.5,6.18,16,0,0,1.50,0.16,1.10,0.000
SM Curran (ENG),2019-2019,2019,2019,0,5,5,18,0,153,6,Feb-22,25.5,8.5,18,0,0,1.20,0.12,0.88,0.000
F Damiao Couana (Moz),2019-2019,2019,2019,0,7,5,18.5,2,118,6,03-Oct,19.66,6.26,18.8,0,0,0.86,0.16,0.65,0.000
S Davizi (CZK-R),2019-2019,2019,2019,0,2,2,4.2,0,23,6,Apr-15,3.83,5.3,4.3,1,0,3.00,0.19,2.16,0.000
S Dhaniram (CAN),2008-2010,2008,2010,2,11,11,33.4,1,192,6,02-Sep,32,5.7,33.6,0,0,0.55,0.18,0.43,0.000
M Faheem (THAI),2019-2019,2019,2019,0,4,4,14,0,103,6,Feb-20,17.16,7.35,14,0,0,1.50,0.14,1.09,0.000
Farhad Reza (BDESH),2006-2014,2006,2014,8,13,11,26,0,261,6,Feb-34,43.5,10.03,26,0,0,0.46,0.10,0.35,0.000
S Hirugade (Mex),2019-2019,2019,2019,0,6,5,13.3,0,92,6,Apr-16,15.33,6.81,13.5,1,0,1.00,0.15,0.74,0.000
Irfan Bhima (MWI),2019-2019,2019,2019,0,4,4,15,3,51,6,Mar-14,8.5,3.4,15,0,0,1.50,0.29,1.14,0.000
S Kaveri (Mex),2019-2019,2019,2019,0,7,5,13,0,70,6,02-Oct,11.66,5.38,13,0,0,0.86,0.19,0.66,0.000
MR Marsh (AUS),2011-2018,2011,2018,7,11,9,19,0,156,6,02-Jun,26,8.21,19,0,0,0.55,0.12,0.42,0.000
JL Martel (GUE),2019-2019,2019,2019,0,3,3,11,0,59,6,Mar-15,9.83,5.36,11,0,0,2.00,0.19,1.46,0.000
CAJ Meschede (GER),2019-2019,2019,2019,0,5,5,20,0,115,6,02-Nov,19.16,5.75,20,0,0,1.20,0.17,0.89,0.000
M Mooketsi (Botsw),2019-2019,2019,2019,0,7,7,25,0,197,6,Feb-31,32.83,7.88,25,0,0,0.86,0.13,0.64,0.000
A Morris (Caym),2019-2019,2019,2019,0,6,6,22,1,114,6,Feb-17,19,5.18,22,0,0,1.00,0.19,0.76,0.000
JM Muirhead (AUS),2014-2014,2014,2014,0,5,5,15,0,109,6,Feb-13,18.16,7.26,15,0,0,1.20,0.14,0.88,0.000
T Muzarabani (ZIM),2015-2016,2015,2016,1,9,9,30,0,280,6,Feb-31,46.66,9.33,30,0,0,0.67,0.11,0.50,0.000
M Ntini (SA),2005-2011,2005,2011,6,10,10,32,0,298,6,Feb-22,49.66,9.31,32,0,0,0.60,0.11,0.45,0.000
IE O'Brien (NZ),2009-2009,2009,2009,0,4,4,13,0,116,6,Feb-30,19.33,8.92,13,0,0,1.50,0.11,1.08,0.000
SNJ O'Keefe (AUS),2010-2011,2010,2011,1,7,7,19,0,149,6,Mar-29,24.83,7.84,19,0,0,0.86,0.13,0.64,0.000
IO Okpe (NGA),2019-2019,2019,2019,0,8,8,20.5,1,188,6,Feb-17,31.33,9.02,20.8,0,0,0.75,0.11,0.56,0.000
SA Okpe (NGA),2019-2019,2019,2019,0,8,7,12.2,0,94,6,Feb-22,15.66,7.62,12.3,0,0,0.75,0.13,0.56,0.000
BA Pai (GIBR),2019-2019,2019,2019,0,4,4,15,0,82,6,Mar-14,13.66,5.46,15,0,0,1.50,0.18,1.10,0.000
KA Reynolds (Blz),2019-2019,2019,2019,0,3,3,11,0,60,6,Mar-26,10,5.45,11,0,0,2.00,0.18,1.46,0.000
Rokhan Barakzai (AFG),2015-2015,2015,2015,0,3,3,10,0,75,6,Feb-21,12.5,7.5,10,0,0,2.00,0.13,1.44,0.000
JE Root (ENG),2012-2019,2012,2019,7,32,9,14,0,139,6,02-Sep,23.16,9.92,14,0,0,0.19,0.10,0.16,0.000
Sabbir Rahman (BDESH),2014-2019,2014,2019,5,44,8,11.1,0,70,6,03-Nov,11.66,6.26,11.1,0,0,0.14,0.16,0.14,0.000
Sagar Pun (NEPAL),2014-2015,2014,2015,1,9,8,23.3,0,131,6,Mar-26,21.83,5.57,23.5,0,0,0.67,0.18,0.52,0.000
NA Saini (INDIA),2019-2019,2019,2019,0,5,5,17,1,137,6,Mar-17,22.83,8.05,17,0,0,1.20,0.12,0.88,0.000
E Schiferli (NL),2008-2010,2008,2010,2,7,6,23,0,146,6,Mar-23,24.33,6.34,23,0,0,0.86,0.16,0.65,0.000
PH Shamdasani (Peru),2019-2019,2019,2019,0,4,4,12,1,70,6,02-Aug,11.66,5.83,12,0,0,1.50,0.17,1.10,0.000
MM Sharma (INDIA),2014-2015,2014,2015,1,8,8,23,0,185,6,Feb-28,30.83,8.04,23,0,0,0.75,0.12,0.56,0.000
Shoaib Qureshi (Fin),2019-2019,2019,2019,0,5,5,13.4,0,109,6,Feb-22,18.16,7.97,13.6,0,0,1.20,0.13,0.88,0.000
Sidhant Singh (SGP),2019-2019,2019,2019,0,8,8,23,0,216,6,Feb-27,36,9.39,23,0,0,0.75,0.11,0.56,0.000
LMP Simmons (WI),2007-2019,2007,2019,12,49,3,6,0,55,6,Apr-19,9.16,9.16,6,1,0,0.12,0.11,0.12,0.000
TB Sole (SCOT),2019-2019,2019,2019,0,9,6,21,0,137,6,Feb-15,22.83,6.52,21,0,0,0.67,0.15,0.51,0.000
Soumya Sarkar (BDESH),2015-2019,2015,2019,4,46,13,23.3,0,249,6,Feb-29,41.5,10.59,23.5,0,0,0.13,0.09,0.12,0.000
BB Sran (INDIA),2016-2016,2016,2016,0,2,2,8,1,41,6,04-Oct,6.83,5.12,8,1,0,3.00,0.20,2.16,0.000
Tariq Aziz (PORT),2019-2019,2019,2019,0,4,4,16,0,70,6,Mar-20,11.66,4.37,16,0,0,1.50,0.23,1.12,0.000
WPUJC Vaas (SL),2006-2007,2006,2007,1,6,6,22,1,128,6,Feb-14,21.33,5.81,22,0,0,1.00,0.17,0.75,0.000
JDF Vandersay (SL),2015-2019,2015,2019,4,10,10,35,1,262,6,Feb-26,43.66,7.48,35,0,0,0.60,0.13,0.46,0.000
Waheed Ahmed (UAE),2019-2019,2019,2019,0,10,10,27,0,198,6,Mar-21,33,7.33,27,0,0,0.60,0.14,0.46,0.000
KS Williamson (NZ),2011-2019,2011,2019,8,57,12,19.4,0,164,6,Feb-16,27.33,8.33,19.6,0,0,0.11,0.12,0.11,0.000
Zeshan Arif (Aut),2019-2019,2019,2019,0,4,3,7.5,0,49,6,04-Oct,8.16,6.25,7.8,1,0,1.50,0.16,1.10,0.000
Abdul Wahid (Saudi),2019-2019,2019,2019,0,5,5,17,0,117,5,Feb-21,23.4,6.88,20.4,0,0,1.00,0.15,0.74,0.000
CN Ackermann (NL),2019-2019,2019,2019,0,11,10,25,0,147,5,01-Jun,29.4,5.88,30,0,0,0.45,0.17,0.37,0.000
Ameel Mauroof (Mald),2019-2019,2019,2019,0,10,10,23,0,173,5,Feb-13,34.6,7.52,27.6,0,0,0.50,0.13,0.39,0.000
Amjad Sher (Fin),2019-2019,2019,2019,0,5,5,18,2,88,5,Feb-22,17.6,4.88,21.6,0,0,1.00,0.20,0.76,0.000
R Ankad (Mex),2019-2019,2019,2019,0,8,8,23.4,1,178,5,Mar-22,35.6,7.52,28.4,0,0,0.63,0.13,0.48,0.000
Anshuman Rath (HKG),2015-2017,2015,2017,2,20,13,33,0,264,5,03-Jun,52.8,8,39.6,0,0,0.25,0.13,0.21,0.000
Arshad Hayat (CZK-R),2019-2019,2019,2019,0,6,5,10,0,103,5,Feb-15,20.6,10.3,12,0,0,0.83,0.10,0.61,0.000
Babar Ali (BAH),2019-2019,2019,2019,0,3,3,9,0,70,5,Feb-18,14,7.77,10.8,0,0,1.67,0.13,1.21,0.000
V Baskaran (SGP),2019-2019,2019,2019,0,12,12,36,2,245,5,Feb-22,49,6.8,43.2,0,0,0.42,0.15,0.34,0.000
S Bhari (NEPAL),2019-2019,2019,2019,0,6,6,18,0,113,5,Feb-22,22.6,6.27,21.6,0,0,0.83,0.16,0.63,0.000
Bilawal Bhatti (PAK),2013-2015,2013,2015,2,9,9,26,0,255,5,Feb-36,51,9.8,31.2,0,0,0.56,0.10,0.42,0.000
DR Briggs (ENG),2012-2014,2012,2014,2,7,6,18,0,199,5,Feb-25,39.8,11.05,21.6,0,0,0.71,0.09,0.53,0.000
KJ Coetzer (SCOT),2008-2019,2008,2019,11,58,5,11,0,71,5,Mar-25,14.2,6.45,13.2,0,0,0.09,0.16,0.11,0.000
H Dandapani (Fin),2019-2019,2019,2019,0,5,5,15,0,90,5,02-Jun,18,6,18,0,0,1.00,0.17,0.75,0.000
LA Dawson (ENG),2016-2018,2016,2018,2,6,6,20,0,152,5,Mar-27,30.4,7.6,24,0,0,0.83,0.13,0.62,0.000
DM de Silva (SL),2015-2019,2015,2019,4,13,7,15,0,100,5,Feb-22,20,6.66,18,0,0,0.38,0.15,0.31,0.000
AC Douglas (BMUDA),2019-2019,2019,2019,0,10,2,4.2,0,30,5,May-18,6,6.92,5.2,0,1,0.50,0.14,0.39,0.100
A Flintoff (ENG),2005-2007,2005,2007,2,7,7,25,0,161,5,Feb-23,32.2,6.44,30,0,0,0.71,0.16,0.55,0.000
R Frylinck (SA),2017-2018,2017,2018,1,3,3,10,0,62,5,Feb-20,12.4,6.2,12,0,0,1.67,0.16,1.22,0.000
GC Galanis (),2019-2019,2019,2019,0,2,2,4.2,0,32,5,Mar-32,6.4,7.38,5.2,0,0,2.50,0.14,1.79,0.000
WT Gavera (PNG),2015-2017,2015,2017,2,6,6,17,1,113,5,Mar-17,22.6,6.64,20.4,0,0,0.83,0.15,0.63,0.000
DAS Gunaratne (SL),2016-2017,2016,2017,1,12,10,24.5,0,204,5,01-Nov,40.8,8.21,29.8,0,0,0.42,0.12,0.33,0.000
MD Gunathilaka (SL),2016-2019,2016,2019,3,21,9,15.4,0,128,5,02-Mar,25.6,8.17,18.8,0,0,0.24,0.12,0.20,0.000
AM Guruge (UAE),2014-2015,2014,2015,1,5,5,16,0,125,5,Feb-18,25,7.81,19.2,0,0,1.00,0.13,0.74,0.000
J Hurley (Arg),2019-2019,2019,2019,0,3,3,10,0,33,5,Mar-13,6.6,3.3,12,0,0,1.67,0.30,1.26,0.000
Imran Anwar (BAH),2019-2019,2019,2019,0,4,4,16,0,134,5,Feb-24,26.8,8.37,19.2,0,0,1.25,0.12,0.91,0.000
MS Kasprowicz (AUS),2005-2005,2005,2005,0,2,2,7,0,57,5,Apr-29,11.4,8.14,8.4,1,0,2.50,0.12,1.79,0.000
VJ Kingma (NL),2016-2019,2016,2019,3,4,4,14.4,0,142,5,Feb-47,28.4,9.68,17.6,0,0,1.25,0.10,0.91,0.000
SC Kuggeleijn (NZ),2019-2019,2019,2019,0,9,9,26.5,0,260,5,Feb-38,52,9.68,32.2,0,0,0.56,0.10,0.42,0.000
R Kumar (ROM),2019-2019,2019,2019,0,4,3,12,0,98,5,Feb-28,19.6,8.16,14.4,0,0,1.25,0.12,0.91,0.000
GD McGrath (AUS),2005-2005,2005,2005,0,2,2,8,0,79,5,Mar-31,15.8,9.87,9.6,0,0,2.50,0.10,1.78,0.000
MW Machan (SCOT),2013-2016,2013,2016,3,13,7,22.3,0,156,5,Mar-23,31.2,6.93,27,0,0,0.38,0.14,0.31,0.000
P Mishra (),2019-2019,2019,2019,0,3,3,9,0,37,5,03-Dec,7.4,4.11,10.8,0,0,1.67,0.24,1.24,0.000
DJ Mitchell (NZ),2019-2019,2019,2019,0,9,5,9.1,0,89,5,Feb-27,17.8,9.7,11,0,0,0.56,0.10,0.42,0.000
Mosaddek Hossain (BDESH),2016-2019,2016,2019,3,14,12,21.4,0,160,5,Feb-21,32,7.38,26,0,0,0.36,0.14,0.29,0.000
Muhammad Nadeem (Saudi),2019-2019,2019,2019,0,5,2,5,0,49,5,Mar-16,9.8,9.8,6,0,0,1.00,0.10,0.73,0.000
Muhammad Saleem (),2019-2019,2019,2019,0,4,4,11,1,45,5,Mar-19,9,4.09,13.2,0,0,1.25,0.24,0.95,0.000
Muhammad Wafiq (MAL),2019-2019,2019,2019,0,4,4,16,1,114,5,03-Oct,22.8,7.12,19.2,0,0,1.25,0.14,0.92,0.000
DM Nakrani (UGA),2019-2019,2019,2019,0,4,4,12,0,93,5,Feb-29,18.6,7.75,14.4,0,0,1.25,0.13,0.91,0.000
W Nalisa (VAN),2019-2019,2019,2019,0,9,7,20,0,177,5,Feb-25,35.4,8.85,24,0,0,0.56,0.11,0.42,0.000
Naved-ul-Hasan (PAK),2006-2010,2006,2010,4,4,4,14.1,0,101,5,Mar-19,20.2,7.12,17,0,0,1.25,0.14,0.92,0.000
RJ Nicol (NZ),2010-2013,2010,2013,3,21,13,20.3,0,167,5,Feb-20,33.4,8.14,24.6,0,0,0.24,0.12,0.20,0.000
PJ Ongondo (KENYA),2007-2008,2007,2008,1,8,8,26,1,177,5,Feb-18,35.4,6.8,31.2,0,0,0.63,0.15,0.48,0.000
MW Parkinson (ENG),2019-2019,2019,2019,0,2,2,6,0,61,5,Apr-47,12.2,10.16,7.2,1,0,2.50,0.10,1.78,0.000
MIA Patel (MWI),2019-2019,2019,2019,0,3,3,12,0,83,5,Mar-25,16.6,6.91,14.4,0,0,1.67,0.14,1.21,0.000
NK Patel (USA),2019-2019,2019,2019,0,4,4,13,1,61,5,02-Aug,12.2,4.69,15.6,0,0,1.25,0.21,0.94,0.000
SS Pathirana (SL),2016-2017,2016,2017,1,5,5,15.5,0,119,5,Feb-23,23.8,7.51,19,0,0,1.00,0.13,0.74,0.000
K Pierre (WI),2018-2019,2018,2019,1,8,8,23,0,203,5,Feb-44,40.6,8.82,27.6,0,0,0.63,0.11,0.47,0.000
J Rasu (VAN),2019-2019,2019,2019,0,13,2,3.5,0,44,5,May-36,8.8,11.47,4.6,0,1,0.38,0.09,0.30,0.077
DMW Rawlins (BMUDA),2019-2019,2019,2019,0,11,11,37,0,285,5,Feb-22,57,7.7,44.4,0,0,0.45,0.13,0.36,0.000
Raza Iqbal (NOR),2019-2019,2019,2019,0,5,4,13,0,85,5,Feb-20,17,6.53,15.6,0,0,1.00,0.15,0.75,0.000
LH Rodrigues (),2019-2019,2019,2019,0,4,4,13,1,61,5,Mar-15,12.2,4.69,15.6,0,0,1.25,0.21,0.94,0.000
HAM Shah (DEN),2019-2019,2019,2019,0,9,4,10,0,86,5,Apr-23,17.2,8.6,12,1,0,0.56,0.12,0.42,0.000
KD Shah (HKG),2014-2019,2014,2019,5,26,9,24,1,190,5,Feb-31,38,7.91,28.8,0,0,0.19,0.13,0.17,0.000
V Shankar (INDIA),2018-2019,2018,2019,1,9,6,21,0,191,5,Feb-32,38.2,9.09,25.2,0,0,0.56,0.11,0.42,0.000
Sharafuddin Ashraf (AFG),2015-2019,2015,2019,4,8,8,25,1,201,5,Mar-27,40.2,8.04,30,0,0,0.63,0.12,0.47,0.000
Sohail Khan (PAK),2008-2017,2008,2017,9,5,5,15,0,123,5,Feb-13,24.6,8.2,18,0,0,1.00,0.12,0.74,0.000
ACF Stokes (GUE),2019-2019,2019,2019,0,7,7,23.2,0,152,5,Feb-26,30.4,6.51,28,0,0,0.71,0.15,0.55,0.000
Tauqeer Hussain (ESP),2019-2019,2019,2019,0,4,4,9.3,0,48,5,02-Dec,9.6,5.05,11.4,0,0,1.25,0.20,0.93,0.000
RML Taylor (SCOT),2013-2016,2013,2016,3,9,9,25,1,196,5,Mar-17,39.2,7.84,30,0,0,0.56,0.13,0.43,0.000
RJW Topley (ENG),2015-2016,2015,2016,1,6,6,17.1,0,173,5,Mar-24,34.6,10.07,20.6,0,0,0.83,0.10,0.61,0.000
Usama Master (MWI),2019-2019,2019,2019,0,6,5,13.1,0,106,5,Feb-24,21.2,8.05,15.8,0,0,0.83,0.12,0.62,0.000
LV van Beek (NL),2014-2016,2014,2016,2,8,7,17,0,160,5,03-Sep,32,9.41,20.4,0,0,0.63,0.11,0.47,0.000
W Viraliliu (VAN),2019-2019,2019,2019,0,10,9,20.2,0,164,5,Mar-19,32.8,8.06,24.4,0,0,0.50,0.12,0.39,0.000
S Waqas Ahmed (NOR),2019-2019,2019,2019,0,5,4,10,0,83,5,Feb-24,16.6,8.3,12,0,0,1.00,0.12,0.74,0.000
AA Westphal (Mex),2019-2019,2019,2019,0,5,5,19,0,65,5,02-Oct,13,3.42,22.8,0,0,1.00,0.29,0.79,0.000
BTJ Wheal (SCOT),2016-2017,2016,2017,1,5,5,17.2,0,143,5,Mar-20,28.6,8.25,20.8,0,0,1.00,0.12,0.74,0.000
Yamin Ahmadzai (AFG),2015-2015,2015,2015,0,2,2,7.1,0,65,5,Mar-34,13,9.06,8.6,0,0,2.50,0.11,1.78,0.000
Yasar Haroon (),2019-2019,2019,2019,0,4,4,13,1,72,5,Feb-18,14.4,5.53,15.6,0,0,1.25,0.18,0.93,0.000
Yasir Ali (ESP),2019-2019,2019,2019,0,9,5,9.5,0,52,5,02-Nov,10.4,5.28,11.8,0,0,0.56,0.19,0.45,0.000
Abul Hasan (BDESH),2012-2018,2012,2018,6,5,5,14,0,148,4,Feb-33,37,10.57,21,0,0,0.80,0.09,0.59,0.000
Abu Jayed (BDESH),2018-2018,2018,2018,0,3,3,11,0,106,4,Feb-27,26.5,9.63,16.5,0,0,1.33,0.10,0.96,0.000
Afif Hossain (BDESH),2018-2019,2018,2019,1,8,5,10,1,79,4,02-Sep,19.75,7.9,15,0,0,0.50,0.13,0.39,0.000
