Player,Span,Start_Year,End_Year,Career_Length,Mat,Inns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Wickets_Per_Match,Economy_Score,Bowling_Impact_Score,Five_Wicket_Rate
NM Lyon (AUS),2012-2019,2012,2019,7,29,29,1626,1334,29,Apr-44,46,4.92,56,1,0,1.00,0.20,0.76,0.000
Manzoor Elahi (PAK),1984-1995,1984,1995,11,54,49,1743,1262,29,Mar-22,43.51,4.34,60.1,0,0,0.54,0.23,0.45,0.000
BA Murphy (ZIM),2000-2003,2000,2003,3,31,29,1422,1130,29,Mar-43,38.96,4.76,49,0,0,0.94,0.21,0.72,0.000
D Pretorius (SA),2016-2019,2016,2019,3,22,22,1022,813,29,03-May,28.03,4.77,35.2,0,0,1.32,0.21,0.99,0.000
FA Rose (WI),1997-2000,1997,2000,3,27,27,1326,1046,29,May-23,36.06,4.73,45.7,0,1,1.07,0.21,0.82,0.037
RJ Sidebottom (ENG),2001-2010,2001,2010,9,25,25,1277,1039,29,Mar-19,35.82,4.88,44,0,0,1.16,0.20,0.87,0.000
CM Wright (SCOT),2006-2009,2006,2009,3,20,19,861,663,29,Apr-29,22.86,4.62,29.6,1,0,1.45,0.22,1.08,0.000
Ahmed Raza (UAE),2014-2019,2014,2019,5,28,28,1505,1011,28,Apr-37,36.1,4.03,53.7,1,0,1.00,0.25,0.77,0.000
IG Butler (NZ),2002-2010,2002,2010,8,26,25,1109,1038,28,Apr-44,37.07,5.61,39.6,1,0,1.08,0.18,0.81,0.000
WW Hinds (WI),1999-2010,1999,2010,11,119,34,945,837,28,Mar-24,29.89,5.31,33.7,0,0,0.24,0.19,0.22,0.000
BMAJ Mendis (SL),2010-2019,2010,2019,9,58,49,1404,1204,28,Mar-15,43,5.14,50.1,0,0,0.48,0.19,0.40,0.000
SPD Smith (AUS),2010-2019,2010,2019,9,118,39,1070,963,28,Mar-16,34.39,5.4,38.2,0,0,0.24,0.19,0.22,0.000
DT Tiripano (ZIM),2014-2019,2014,2019,5,31,29,1220,1122,28,May-63,40.07,5.51,43.5,0,1,0.90,0.18,0.69,0.032
Ata-ur-Rehman (PAK),1992-1996,1992,1996,4,30,30,1492,1186,27,Mar-27,43.92,4.76,55.2,0,0,0.90,0.21,0.69,0.000
HK Bennett (NZ),2010-2017,2010,2017,7,16,15,718,621,27,Apr-16,23,5.18,26.5,2,0,1.69,0.19,1.24,0.000
TK Curran (ENG),2017-2019,2017,2019,2,17,17,762,805,27,May-35,29.81,6.33,28.2,1,1,1.59,0.16,1.16,0.059
PW Gunaratne (SL),2002-2003,2002,2003,1,23,23,959,908,27,Apr-44,33.62,5.68,35.5,1,0,1.17,0.18,0.87,0.000
KM Jadhav (INDIA),2014-2019,2014,2019,5,71,42,1187,1020,27,Mar-23,37.77,5.15,43.9,0,0,0.38,0.19,0.32,0.000
AY Karim (KENYA),1996-2003,1996,2003,7,34,33,1568,1114,27,May-33,41.25,4.26,58,0,1,0.79,0.23,0.63,0.029
AJ McKay (NZ),2010-2012,2010,2012,2,19,19,926,800,27,Apr-53,29.62,5.18,34.2,2,0,1.42,0.19,1.05,0.000
PJ Martin (ENG),1995-1998,1995,1998,3,20,20,1048,806,27,Apr-44,29.85,4.61,38.8,1,0,1.35,0.22,1.01,0.000
RAP Nissanka (SL),2001-2003,2001,2003,2,23,23,997,857,27,04-Dec,31.74,5.15,36.9,1,0,1.17,0.19,0.88,0.000
A Vala (PNG),2014-2019,2014,2019,5,27,26,1038,648,27,Mar-20,24,3.74,38.4,0,0,1.00,0.27,0.78,0.000
CA Young (IRE),2014-2017,2014,2017,3,13,12,657,563,27,May-46,20.85,5.14,24.3,0,1,2.08,0.19,1.51,0.077
PH Edmonds (ENG),1977-1987,1977,1987,10,29,27,1534,965,26,Mar-39,37.11,3.77,59,0,0,0.90,0.27,0.71,0.000
AP Gurusinha (SL),1985-1996,1985,1996,11,147,55,1585,1354,26,Feb-25,52.07,5.12,60.9,0,0,0.18,0.20,0.18,0.000
LN Onyango (KENYA),1996-2014,1996,2014,18,29,28,995,981,26,Mar-29,37.73,5.91,38.2,0,0,0.90,0.17,0.68,0.000
AM Phangiso (SA),2013-2016,2013,2016,3,21,21,1085,829,26,Mar-40,31.88,4.58,41.7,0,0,1.24,0.22,0.93,0.000
DN Crookes (SA),1994-2000,1994,2000,6,32,30,1221,1011,25,Mar-30,40.44,4.96,48.8,0,0,0.78,0.20,0.61,0.000
GD Drummond (SCOT),2007-2013,2007,2013,6,30,29,1263,932,25,Apr-41,37.28,4.42,50.5,1,0,0.83,0.23,0.65,0.000
LM Jongwe (ZIM),2014-2016,2014,2016,2,22,22,863,759,25,05-Jun,30.36,5.27,34.5,0,1,1.14,0.19,0.85,0.045
A Kuruvilla (INDIA),1997-1997,1997,1997,0,25,25,1131,890,25,Apr-43,35.6,4.72,45.2,1,0,1.00,0.21,0.76,0.000
D Langford-Smith (IRE),2006-2008,2006,2008,2,22,21,942,797,25,Mar-32,31.88,5.07,37.6,0,0,1.14,0.20,0.85,0.000
SW Masakadza (ZIM),2010-2014,2010,2014,4,16,16,791,891,25,Apr-46,35.64,6.75,31.6,3,0,1.56,0.15,1.14,0.000
G Miller (ENG),1977-1984,1977,1984,7,25,24,1268,813,25,Mar-27,32.52,3.84,50.7,0,0,1.00,0.26,0.78,0.000
CA Soper (PNG),2016-2019,2016,2019,3,20,20,900,733,25,Jun-41,29.32,4.88,36,0,1,1.25,0.20,0.94,0.050
K Srikkanth (INDIA),1981-1992,1981,1992,11,146,33,712,641,25,May-27,25.64,5.4,28.4,0,2,0.17,0.19,0.18,0.014
AR White (IRE),2006-2014,2006,2014,8,61,35,869,688,25,Apr-44,27.52,4.75,34.7,1,0,0.41,0.21,0.35,0.000
KIW Wijegunawardene (SL),1988-1992,1988,1992,4,26,25,1186,986,25,Apr-49,39.44,4.98,47.4,1,0,0.96,0.20,0.73,0.000
Alok Kapali (BDESH),2002-2011,2002,2011,9,69,49,1452,1255,24,Mar-49,52.29,5.18,60.5,0,0,0.35,0.19,0.30,0.000
Arafat Sunny (BDESH),2014-2015,2014,2015,1,16,16,830,600,24,Apr-27,25,4.33,34.5,2,0,1.50,0.23,1.12,0.000
ID Blackwell (ENG),2002-2006,2002,2006,4,34,26,1230,877,24,Mar-26,36.54,4.27,51.2,0,0,0.71,0.23,0.56,0.000
C de Grandhomme (NZ),2012-2019,2012,2019,7,38,38,1296,1046,24,Mar-26,43.58,4.84,54,0,0,0.63,0.21,0.50,0.000
Harvinder Singh (INDIA),1997-2001,1997,2001,4,16,16,686,609,24,Mar-44,25.37,5.32,28.5,0,0,1.50,0.19,1.11,0.000
RC Irani (ENG),1996-2003,1996,2003,7,31,30,1283,989,24,May-26,41.2,4.62,53.4,1,1,0.77,0.22,0.61,0.032
PW Jarvis (ENG),1988-1993,1988,1993,5,16,16,879,672,24,May-35,28,4.58,36.6,1,1,1.50,0.22,1.12,0.063
MBS Jonkman (NL),2006-2010,2006,2010,4,16,16,719,565,24,Mar-24,23.54,4.71,29.9,0,0,1.50,0.21,1.11,0.000
JK Lever (ENG),1976-1982,1976,1982,6,22,22,1152,713,24,Apr-29,29.7,3.71,48,1,0,1.09,0.27,0.84,0.000
Manjural Islam (BDESH),1999-2003,1999,2003,4,34,34,1591,1284,24,Mar-37,53.5,4.84,66.2,0,0,0.71,0.21,0.56,0.000
Mohammad Saifuddin (BDESH),2017-2019,2017,2019,2,20,20,912,909,24,Mar-45,37.87,5.98,38,0,0,1.20,0.17,0.89,0.000
Nasir Hossain (BDESH),2011-2018,2011,2018,7,65,43,1256,988,24,Mar-26,41.16,4.71,52.3,0,0,0.37,0.21,0.32,0.000
MS Panesar (ENG),2007-2007,2007,2007,0,26,26,1308,980,24,Mar-25,40.83,4.49,54.5,0,0,0.92,0.22,0.71,0.000
SR Patel (ENG),2008-2013,2008,2013,5,36,32,1187,1091,24,May-41,45.45,5.51,49.4,0,1,0.67,0.18,0.52,0.028
KR Pushpakumara (SL),1994-1999,1994,1999,5,31,31,1430,1181,24,Mar-25,49.2,4.95,59.5,0,0,0.77,0.20,0.60,0.000
JA Richardson (AUS),2018-2019,2018,2019,1,12,12,648,632,24,Apr-26,26.33,5.85,27,1,0,2.00,0.17,1.45,0.000
O Thomas (WI),2018-2019,2018,2019,1,19,18,716,825,24,May-21,34.37,6.91,29.8,1,1,1.26,0.14,0.93,0.053
Yasir Shah (PAK),2011-2019,2011,2019,8,25,24,1293,1150,24,Jun-26,47.91,5.33,53.8,1,1,0.96,0.19,0.73,0.040
Aizaz Cheema (PAK),2011-2012,2011,2012,1,14,14,658,593,23,Apr-43,25.78,5.4,28.6,2,0,1.64,0.19,1.21,0.000
JC Archer (ENG),2019-2019,2019,2019,0,14,14,737,569,23,Mar-27,24.73,4.63,32,0,0,1.64,0.22,1.21,0.000
DAJ Bracewell (NZ),2011-2019,2011,2019,8,19,19,932,798,23,Apr-55,34.69,5.13,40.5,1,0,1.21,0.19,0.91,0.000
NG Cowans (ENG),1983-1985,1983,1985,2,23,23,1282,913,23,Mar-44,39.69,4.27,55.7,0,0,1.00,0.23,0.77,0.000
KM Dabengwa (ZIM),2005-2010,2005,2010,5,37,35,1109,936,23,Mar-15,40.69,5.06,48.2,0,0,0.62,0.20,0.49,0.000
WW Daniel (WI),1978-1984,1978,1984,6,18,18,912,595,23,Mar-27,25.86,3.91,39.6,0,0,1.28,0.26,0.97,0.000
SR Gillespie (NZ),1986-1988,1986,1988,2,19,19,963,736,23,Apr-30,32,4.58,41.8,1,0,1.21,0.22,0.91,0.000
G Goudie (SCOT),2008-2013,2008,2013,5,16,16,729,623,23,May-73,27.08,5.12,31.6,0,1,1.44,0.20,1.06,0.063
ND Hirwani (INDIA),1988-1992,1988,1992,4,18,18,960,719,23,Apr-43,31.26,4.49,41.7,3,0,1.28,0.22,0.96,0.000
TG Hogan (AUS),1983-1984,1983,1984,1,16,15,917,574,23,Apr-33,24.95,3.75,39.8,1,0,1.44,0.27,1.09,0.000
KAD Hurdle (BMUDA),2006-2007,2006,2007,1,19,19,905,831,23,Mar-24,36.13,5.5,39.3,0,0,1.21,0.18,0.90,0.000
Manjural Islam Rana (BDESH),2003-2006,2003,2006,3,25,23,996,689,23,Apr-34,29.95,4.15,43.3,2,0,0.92,0.24,0.72,0.000
S Mukuddem (BMUDA),2006-2007,2006,2007,1,20,20,960,752,23,Apr-40,32.69,4.7,41.7,1,0,1.15,0.21,0.87,0.000
BTJ Wheal (SCOT),2016-2019,2016,2019,3,13,13,687,508,23,Mar-34,22.08,4.43,29.8,0,0,1.77,0.23,1.31,0.000
DR Brown (ENG/SCOT),1997-2007,1997,2007,10,25,25,953,919,22,Mar-37,41.77,5.78,43.3,0,0,0.88,0.17,0.67,0.000
DM de Silva (SL),2016-2019,2016,2019,3,42,35,1028,899,22,Mar-32,40.86,5.24,46.7,0,0,0.52,0.19,0.42,0.000
DR Doshi (INDIA),1980-1982,1980,1982,2,15,15,792,524,22,Apr-30,23.81,3.96,36,2,0,1.47,0.25,1.10,0.000
Farhad Reza (BDESH),2006-2011,2006,2011,5,34,32,1139,1017,22,May-42,46.22,5.35,51.7,0,1,0.65,0.19,0.51,0.029
DAS Gunaratne (SL),2016-2019,2016,2019,3,31,25,834,723,22,03-Oct,32.86,5.2,37.9,0,0,0.71,0.19,0.55,0.000
BP Julian (AUS),1993-1999,1993,1999,6,25,25,1146,997,22,Mar-40,45.31,5.21,52,0,0,0.88,0.19,0.67,0.000
RN Lewis (WI),1997-2009,1997,2009,12,28,25,1150,983,22,Mar-43,44.68,5.12,52.2,0,0,0.79,0.20,0.61,0.000
ML Nkala (ZIM),1998-2006,1998,2006,8,50,46,1582,1570,22,03-Dec,71.36,5.95,71.9,0,0,0.44,0.17,0.36,0.000
E Otieno (KENYA),2007-2014,2007,2014,7,26,25,954,927,22,Apr-33,42.13,5.83,43.3,1,0,0.85,0.17,0.64,0.000
MW Pringle (SA),1992-1994,1992,1994,2,17,17,870,604,22,04-Nov,27.45,4.16,39.5,1,0,1.29,0.24,0.98,0.000
JE Root (ENG),2013-2019,2013,2019,6,143,64,1414,1364,22,Mar-52,62,5.78,64.2,0,0,0.15,0.17,0.16,0.000
SK Sharma (INDIA),1988-1990,1988,1990,2,23,22,979,813,22,May-26,36.95,4.98,44.5,0,1,0.96,0.20,0.73,0.043
Sohag Gazi (BDESH),2012-2014,2012,2014,2,20,19,919,722,22,Apr-29,32.81,4.71,41.7,1,0,1.10,0.21,0.83,0.000
WF Stelling (NL),2006-2007,2006,2007,1,15,15,699,567,22,03-Dec,25.77,4.86,31.7,0,0,1.47,0.21,1.09,0.000
Al-Amin Hossain (BDESH),2014-2015,2014,2015,1,14,14,603,523,21,Apr-51,24.9,5.2,28.7,2,0,1.50,0.19,1.11,0.000
JT Ball (ENG),2016-2018,2016,2018,2,18,18,947,980,21,May-51,46.66,6.2,45,0,1,1.17,0.16,0.87,0.056
DH Brain (ZIM),1992-1995,1992,1995,3,23,23,1091,849,21,Mar-51,40.42,4.66,51.9,0,0,0.91,0.21,0.70,0.000
AC Dawson (SA),1998-2004,1998,2004,6,19,19,901,715,21,Apr-49,34.04,4.76,42.9,1,0,1.11,0.21,0.84,0.000
RMS Eranga (SL),2011-2016,2011,2016,5,19,17,716,686,21,Mar-46,32.66,5.74,34,0,0,1.11,0.17,0.83,0.000
CN Evans (ZIM),1992-2002,1992,2002,10,53,34,964,848,21,03-Nov,40.38,5.27,45.9,0,0,0.40,0.19,0.33,0.000
M Hayward (SA),1998-2002,1998,2002,4,21,21,993,858,21,Apr-31,40.85,5.18,47.2,1,0,1.00,0.19,0.76,0.000
NB Mahwire (ZIM),2004-2006,2004,2006,2,23,21,885,775,21,Mar-29,36.9,5.25,42.1,0,0,0.91,0.19,0.70,0.000
WP Masakadza (ZIM),2015-2018,2015,2018,3,17,16,859,734,21,Apr-21,34.95,5.12,40.9,1,0,1.24,0.20,0.92,0.000
Mohsin Kamal (PAK),1984-1989,1984,1989,5,19,19,881,760,21,Apr-47,36.19,5.17,41.9,1,0,1.11,0.19,0.83,0.000
PP Ojha (INDIA),2008-2012,2008,2012,4,18,17,876,652,21,Apr-38,31.04,4.46,41.7,1,0,1.17,0.22,0.88,0.000
AO Suji (KENYA),1996-2008,1996,2008,12,60,46,1295,1175,21,Feb-14,55.95,5.44,61.6,0,0,0.35,0.18,0.30,0.000
Wasim Raja (PAK),1973-1985,1973,1985,12,54,29,1036,687,21,Apr-25,32.71,3.97,49.3,1,0,0.39,0.25,0.35,0.000
MH Yardy (ENG),2006-2011,2006,2011,5,28,28,1332,1075,21,Mar-24,51.19,4.84,63.4,0,0,0.75,0.21,0.59,0.000
Kabir Ali (ENG),2003-2006,2003,2006,3,14,13,673,682,20,Apr-45,34.1,6.08,33.6,1,0,1.43,0.16,1.05,0.000
STR Binny (INDIA),2014-2015,2014,2015,1,14,12,490,439,20,06-Apr,21.95,5.37,24.5,0,1,1.43,0.19,1.06,0.071
TS Chisoro (ZIM),2015-2018,2015,2018,3,18,16,768,556,20,Mar-16,27.8,4.34,38.4,0,0,1.11,0.23,0.85,0.000
DT Christian (AUS),2012-2014,2012,2014,2,19,19,727,595,20,May-31,29.75,4.91,36.3,0,1,1.05,0.20,0.80,0.053
Faheem Ashraf (PAK),2017-2019,2017,2019,2,23,22,902,744,20,May-22,37.2,4.94,45.1,0,1,0.87,0.20,0.67,0.043
DR Hadlee (NZ),1973-1976,1973,1976,3,11,11,628,364,20,Apr-34,18.2,3.47,31.4,1,0,1.82,0.29,1.36,0.000
A Jadeja (INDIA),1992-2000,1992,2000,8,196,52,1248,1094,20,03-Mar,54.7,5.25,62.4,0,0,0.10,0.19,0.13,0.000
RT Lyons (SCOT),2006-2010,2006,2010,4,25,23,1093,901,20,Mar-21,45.05,4.94,54.6,0,0,0.80,0.20,0.62,0.000
N Madziva (ZIM),2014-2016,2014,2016,2,12,12,520,519,20,Apr-49,25.95,5.98,26,1,0,1.67,0.17,1.22,0.000
JO Ngoche (KENYA),2010-2013,2010,2013,3,17,17,878,569,20,Mar-18,28.45,3.88,43.9,0,0,1.18,0.26,0.90,0.000
KMA Paul (WI),2018-2019,2018,2019,1,16,16,740,737,20,Mar-44,36.85,5.97,37,0,0,1.25,0.17,0.93,0.000
NO Perry (WI),1999-2000,1999,2000,1,21,21,946,783,20,Mar-45,39.15,4.96,47.3,0,0,0.95,0.20,0.73,0.000
N Pokana (PNG),2017-2019,2017,2019,2,14,14,641,503,20,Mar-25,25.15,4.7,32,0,0,1.43,0.21,1.06,0.000
Rashid Khan (PAK),1980-1985,1980,1985,5,29,28,1414,923,20,Mar-47,46.15,3.91,70.7,0,0,0.69,0.26,0.56,0.000
DA Reeve (ENG),1991-1996,1991,1996,5,29,28,1147,820,20,Mar-20,41,4.28,57.3,0,0,0.69,0.23,0.55,0.000
Shoaib Mohammad (PAK),1984-1993,1984,1993,9,63,35,919,725,20,Mar-20,36.25,4.73,45.9,0,0,0.32,0.21,0.29,0.000
RML Taylor (SCOT),2013-2016,2013,2016,3,15,15,713,617,20,Mar-39,30.85,5.19,35.6,0,0,1.33,0.19,0.99,0.000
MHN Walker (AUS),1974-1981,1974,1981,7,17,17,1006,546,20,Apr-19,27.3,3.25,50.3,1,0,1.18,0.31,0.92,0.000
GG Arnold (ENG),1972-1975,1972,1975,3,14,13,714,339,19,Apr-27,17.84,2.84,37.5,1,0,1.36,0.35,1.06,0.000
PVD Chameera (SL),2015-2019,2015,2019,4,23,23,895,796,19,Mar-20,41.89,5.33,47.1,0,0,0.83,0.19,0.63,0.000
TM Chappell (AUS),1980-1983,1980,1983,3,20,14,736,538,19,Mar-31,28.31,4.38,38.7,0,0,0.95,0.23,0.73,0.000
Enamul Haque (BDESH),1990-2002,1990,2002,12,29,28,1238,1083,19,Feb-40,57,5.24,65.1,0,0,0.66,0.19,0.52,0.000
AW Greig (ENG),1972-1977,1972,1977,5,22,19,916,619,19,Apr-45,32.57,4.05,48.2,1,0,0.86,0.25,0.68,0.000
VA Holder (WI),1973-1978,1973,1978,5,12,12,681,454,19,May-50,23.89,4,35.8,0,1,1.58,0.25,1.18,0.083
RD Jackman (ENG),1974-1983,1974,1983,9,15,15,873,598,19,Mar-41,31.47,4.1,45.9,0,0,1.27,0.24,0.96,0.000
DS Kulkarni (INDIA),2014-2016,2014,2016,2,12,12,598,508,19,Apr-34,26.73,5.09,31.4,1,0,1.58,0.20,1.17,0.000
MA Leask (SCOT),2014-2019,2014,2019,5,34,31,1142,1019,19,Apr-37,53.63,5.35,60.1,1,0,0.56,0.19,0.45,0.000
BJ McKechnie (NZ),1975-1981,1975,1981,6,14,14,818,495,19,Mar-23,26.05,3.63,43,0,0,1.36,0.28,1.03,0.000
JN Maguire (AUS),1983-1984,1983,1984,1,23,20,1009,769,19,Mar-61,40.47,4.57,53.1,0,0,0.83,0.22,0.64,0.000
Mohammad Akram (PAK),1995-2000,1995,2000,5,23,21,989,790,19,Feb-28,41.57,4.79,52,0,0,0.83,0.21,0.64,0.000
Mushfiqur Rahman (BDESH),2000-2004,2000,2004,4,28,28,1332,983,19,Feb-21,51.73,4.42,70.1,0,0,0.68,0.23,0.54,0.000
PDRL Perera (SL),1999-2007,1999,2007,8,19,19,888,820,19,Mar-23,43.15,5.54,46.7,0,0,1.00,0.18,0.75,0.000
Shahid Nazir (PAK),1996-2000,1996,2000,4,17,17,810,649,19,Mar-14,34.15,4.8,42.6,0,0,1.12,0.21,0.84,0.000
T Shamsi (SA),2016-2019,2016,2019,3,17,17,879,798,19,Apr-33,42,5.44,46.2,1,0,1.12,0.18,0.84,0.000
M Sheikh (KENYA),1997-2000,1997,2000,3,21,21,778,625,19,Apr-36,32.89,4.82,40.9,1,0,0.90,0.21,0.70,0.000
Sohail Khan (PAK),2008-2016,2008,2016,8,13,13,666,597,19,May-55,31.42,5.37,35,0,1,1.46,0.19,1.08,0.077
Tanwir Afzal (HKG),2014-2018,2014,2018,4,20,19,852,601,19,Mar-20,31.63,4.23,44.8,0,0,0.95,0.24,0.74,0.000
AJ Traicos (ZIM),1983-1993,1983,1993,10,27,26,1524,987,19,Mar-35,51.94,3.88,80.2,0,0,0.70,0.26,0.57,0.000
PCR Tufnell (ENG),1990-1997,1990,1997,7,20,20,1020,699,19,Apr-22,36.78,4.11,53.6,1,0,0.95,0.24,0.74,0.000
Anwar Ali (PAK),2013-2016,2013,2016,3,22,22,927,944,18,Mar-66,52.44,6.11,51.5,0,0,0.82,0.16,0.62,0.000
GD Campbell (AUS),1989-1990,1989,1990,1,12,12,613,404,18,Mar-17,22.44,3.95,34,0,0,1.50,0.25,1.13,0.000
RO Collinge (NZ),1973-1978,1973,1978,5,15,15,859,479,18,May-23,26.61,3.34,47.7,0,1,1.20,0.30,0.93,0.067
MD Dai (PNG),2014-2018,2014,2018,4,18,18,954,675,18,Mar-58,37.5,4.24,53,0,0,1.00,0.24,0.77,0.000
DR Gilbert (AUS),1986-1986,1986,1986,0,14,14,684,552,18,May-46,30.66,4.84,38,0,1,1.29,0.21,0.96,0.071
DJ Hussey (AUS),2008-2013,2008,2013,5,69,39,802,698,18,Apr-21,38.77,5.22,44.5,2,0,0.26,0.19,0.24,0.000
BD Julien (WI),1973-1977,1973,1977,4,12,12,778,463,18,Apr-20,25.72,3.57,43.2,2,0,1.50,0.28,1.13,0.000
AP Kuiper (SA),1991-1996,1991,1996,5,25,19,588,518,18,Mar-33,28.77,5.28,32.6,0,0,0.72,0.19,0.56,0.000
J Lewis (ENG),2005-2007,2005,2007,2,13,13,716,500,18,Apr-36,27.77,4.18,39.7,1,0,1.38,0.24,1.04,0.000
CS Martin (NZ),2001-2008,2001,2008,7,20,19,948,804,18,Mar-62,44.66,5.08,52.6,0,0,0.90,0.20,0.69,0.000
Mohammad Ashraful (Asia/BDESH),2001-2013,2001,2013,12,177,40,697,661,18,Mar-26,36.72,5.69,38.7,0,0,0.10,0.18,0.12,0.000
B Muzarabani (ZIM),2018-2018,2018,2018,0,18,18,786,733,18,Apr-47,40.72,5.59,43.6,1,0,1.00,0.18,0.75,0.000
MV Nagamootoo (WI),2000-2002,2000,2002,2,24,24,1189,998,18,Apr-32,55.44,5.03,66,1,0,0.75,0.20,0.58,0.000
AH Omarshah (ZIM),1983-1996,1983,1996,13,28,25,1077,812,18,Mar-33,45.11,4.52,59.8,0,0,0.64,0.22,0.52,0.000
Rahat Ali (PAK),2012-2016,2012,2016,4,14,14,679,658,18,Mar-40,36.55,5.81,37.7,0,0,1.29,0.17,0.95,0.000
KT Sandher (CAN),2006-2007,2006,2007,1,15,15,696,569,18,Mar-24,31.61,4.9,38.6,0,0,1.20,0.20,0.90,0.000
GC Smith (Afr/SA),2002-2013,2002,2013,11,197,43,1026,951,18,Mar-30,52.83,5.56,57,0,0,0.09,0.18,0.12,0.000
CB Sole (SCOT),2016-2018,2016,2018,2,11,11,522,468,18,Apr-28,26,5.37,29,2,0,1.64,0.19,1.20,0.000
RE van der Merwe (NL/SA),2009-2019,2009,2019,10,15,15,789,658,18,Mar-27,36.55,5,43.8,0,0,1.20,0.20,0.90,0.000
KC Wessels (AUS/SA),1983-1994,1983,1994,11,109,23,749,666,18,Feb-16,37,5.33,41.6,0,0,0.17,0.19,0.17,0.000
AG Wharf (ENG),2004-2005,2004,2005,1,13,13,584,428,18,Apr-24,23.77,4.39,32.4,1,0,1.38,0.23,1.04,0.000
LR Williams (WI),1996-2001,1996,2001,5,15,15,659,556,18,Mar-16,30.88,5.06,36.6,0,0,1.20,0.20,0.90,0.000
Adeel Raja (NL),2002-2011,2002,2011,9,21,21,846,690,17,Apr-42,40.58,4.89,49.7,1,0,0.81,0.20,0.63,0.000
DJ Capel (ENG),1987-1990,1987,1990,3,23,22,1038,805,17,Mar-38,47.35,4.65,61,0,0,0.74,0.22,0.58,0.000
EAR de Silva (SL),1986-1992,1986,1992,6,28,28,1374,967,17,Mar-38,56.88,4.22,80.8,0,0,0.61,0.24,0.50,0.000
MV Fleming (ENG),1997-1998,1997,1998,1,11,11,523,434,17,Apr-45,25.52,4.97,30.7,1,0,1.55,0.20,1.14,0.000
HH Kanitkar (INDIA),1997-2000,1997,2000,3,34,28,1006,803,17,Feb-22,47.23,4.78,59.1,0,0,0.50,0.21,0.41,0.000
JJC Lawson (WI),2001-2005,2001,2005,4,13,12,558,498,17,Apr-57,29.29,5.35,32.8,1,0,1.31,0.19,0.97,0.000
Mohammad Nawaz (3) (PAK),2016-2019,2016,2019,3,15,15,699,607,17,Apr-42,35.7,5.21,41.1,1,0,1.13,0.19,0.85,0.000
J Nyumbu (ZIM),2014-2015,2014,2015,1,19,18,844,738,17,Mar-42,43.41,5.24,49.6,0,0,0.89,0.19,0.68,0.000
PADLR Sandakan (SL),2016-2019,2016,2019,3,21,20,961,1031,17,Apr-52,60.64,6.43,56.5,1,0,0.81,0.16,0.61,0.000
A Shahzad (ENG),2010-2011,2010,2011,1,11,11,588,490,17,Mar-41,28.82,5,34.5,0,0,1.55,0.20,1.14,0.000
PM Siddle (AUS),2009-2019,2009,2019,10,20,19,901,743,17,Mar-55,43.7,4.94,53,0,0,0.85,0.20,0.66,0.000
J Theron (SA/USA),2010-2019,2010,2019,9,9,9,412,379,17,May-44,22.29,5.51,24.2,0,1,1.89,0.18,1.38,0.111
Aizaz Khan (HKG),2014-2018,2014,2018,4,19,19,728,680,16,Feb-26,42.5,5.6,45.5,0,0,0.84,0.18,0.64,0.000
Asif Iqbal (PAK),1973-1979,1973,1979,6,10,10,592,378,16,Apr-56,23.62,3.83,37,1,0,1.60,0.26,1.20,0.000
JP Behrendorff (AUS),2019-2019,2019,2019,0,11,11,591,517,16,May-44,32.31,5.24,36.9,0,1,1.45,0.19,1.08,0.091
SM Boland (AUS),2016-2016,2016,2016,0,14,13,716,725,16,Mar-67,45.31,6.07,44.7,0,0,1.14,0.16,0.85,0.000
GR Codrington (CAN),2006-2007,2006,2007,1,17,17,731,577,16,Apr-33,36.06,4.73,45.6,1,0,0.94,0.21,0.72,0.000
CD de Lange (SCOT),2016-2017,2016,2017,1,13,12,546,371,16,May-60,23.18,4.07,34.1,0,1,1.23,0.25,0.94,0.077
Ehsan Nawaz (HKG),2014-2018,2014,2018,4,12,12,513,458,16,Apr-47,28.62,5.35,32,2,0,1.33,0.19,0.99,0.000
GJ Gilmour (AUS),1974-1975,1974,1975,1,5,5,320,165,16,Jun-14,10.31,3.09,20,0,2,3.20,0.32,2.34,0.400
PJC Hoffmann (SCOT),2006-2007,2006,2007,1,18,17,743,555,16,Mar-22,34.68,4.48,46.4,0,0,0.89,0.22,0.69,0.000
SHU Karnain (SL),1984-1990,1984,1990,6,19,14,635,505,16,May-26,31.56,4.77,39.6,0,1,0.84,0.21,0.65,0.053
DE Malcolm (ENG),1990-1994,1990,1994,4,10,10,526,404,16,Mar-40,25.25,4.6,32.8,0,0,1.60,0.22,1.19,0.000
S Matsikenyeri (ZIM),2002-2015,2002,2015,13,113,38,920,778,16,Feb-25,48.62,5.07,57.5,0,0,0.14,0.20,0.16,0.000
JL Pattinson (AUS),2011-2015,2011,2015,4,15,15,727,681,16,Apr-51,42.56,5.62,45.4,1,0,1.07,0.18,0.80,0.000
BS Sandhu (INDIA),1982-1984,1982,1984,2,22,21,1110,763,16,Mar-27,47.68,4.12,69.3,0,0,0.73,0.24,0.58,0.000
RR Sarwan (WI),2000-2013,2000,2013,13,181,25,581,586,16,Mar-31,36.62,6.05,36.3,0,0,0.09,0.17,0.11,0.000
MC Sorensen (IRE),2013-2016,2013,2016,3,13,12,543,520,16,Apr-40,32.5,5.74,33.9,1,0,1.23,0.17,0.91,0.000
